client_id,spend_gbp,visits,first_visit,last_visit,contact_result,comment
Client 001,"£5,062",88,2023-01-08,2025-09-13,Booked/Replied,"Sent, replied, booked"
Client 002,"£4,765",73,2023-05-07,2025-09-26,No Response,"It is not a lost client, has new number"
Client 003,"£3,279",56,2023-05-22,2025-09-12,Booked/Replied,Stopped visiting — started doing nails herself
Client 004,"£3,323",54,2023-02-13,2025-09-11,Sent,
Client 005,"£2,682",53,2023-05-30,2025-10-16,Sent,
Client 006,"£2,729",50,2023-01-07,2025-11-15,No Response,
Client 007,"£2,158",44,2023-01-10,2025-09-29,Sent,
Client 008,"£2,173",39,2023-04-16,2025-09-09,Sent,
Client 009,"£2,258",38,2023-01-15,2025-09-27,Sent,
Client 010,"£2,319",37,2023-12-14,2025-05-12,Sent,
Client 011,"£2,364",37,2024-03-22,2025-11-10,Booked/Replied,Not in UK
Client 012,"£2,191",37,2023-09-25,2025-10-02,Sent,
Client 013,"£2,133",37,2023-03-15,2025-09-16,Sent,
Client 014,"£2,289",36,2023-03-30,2025-09-11,Sent,
Client 015,"£1,743",35,2023-05-21,2025-09-28,Sent,
Client 016,"£2,119",35,2024-05-12,2025-10-13,No Response,"A regular client, has another number"
Client 017,"£2,077",34,2023-01-20,2025-01-15,Sent,Left UK
Client 018,"£2,017",34,2023-03-01,2025-10-13,Sent,
Client 019,"£2,212",34,2023-10-16,2025-10-27,Sent,SMS
Client 020,"£2,021",33,2023-10-20,2025-09-26,Sent,
Client 021,"£2,002",29,2023-09-30,2025-09-27,No Response,She is a regular client at Covent Garden
Client 022,"£1,077",29,2024-06-06,2025-09-26,Sent,SMS
Client 023,"£1,207",29,2023-05-15,2025-09-05,Booked/Replied,
Client 024,"£1,722",28,2022-04-22,2025-09-26,Sent,
Client 025,"£1,509",25,2024-03-25,2025-09-18,No Response,She is not a lost client
Client 026,"£1,411",24,2023-11-02,2025-09-05,No Response,This number is no longer available
Client 027,"£1,375",23,2024-04-02,2025-10-31,Sent,
Client 028,"£1,396",23,2023-08-30,2025-09-08,Booked/Replied,
Client 029,"£5,632",41,08/03/2024,23/06/2026,No Response,"No answer, sent email and WhatsApp"
Client 030,"£3,684",43,15/03/2024,23/06/2026,No Response,"No answer, sent email and WhatsApp"
Client 031,"£3,531",40,08/03/2024,17/03/2026,No Response,"No answer, sent email message"
Client 032,"£3,141",47,03/02/2024,18/03/2026,No Response,"No answer, sent email message"
Client 033,"£3,096",55,27/03/2024,19/04/2026,Not Lost Client,Last visit on April 19
Client 034,"£3,017",37,02/05/2024,22/05/2026,No Response,"No answer, sent email and WhatsApp"
Client 035,"£2,910",27,05/04/2024,19/03/2026,Replied,She said she liked everything
Client 036,"£2,764",39,26/03/2024,28/03/2026,Replied,She said everything was great
Client 037,"£2,661",60,26/03/2024,26/03/2026,Not Lost Client,Last visit on April 11
Client 038,"£2,591",37,12/03/2024,26/03/2026,Booked,Booked on April 23
Client 039,"£2,503",56,14/04/2024,17/03/2026,Replied,She said she was fine
Client 040,"£2,480",32,04/06/2024,28/02/2026,Not Lost Client,Confirmed not lost
Client 041,"£2,440",23,13/11/2024,28/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 042,"£2,240",26,10/07/2024,06/03/2026,Replied,She said to change the booking system
Client 043,"£2,194",25,12/09/2024,06/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 044,"£2,099",24,12/03/2024,01/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 045,"£2,096",25,10/12/2024,25/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 046,"£2,042",23,28/03/2024,12/03/2026,Not Lost Client,Last visit April 20
Client 047,"£2,039",24,27/04/2024,24/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 048,"£1,970",27,25/03/2024,25/05/2026,Booked/Replied,Booked for 25.04
Client 049,"£1,918",17,06/03/2024,16/03/2026,No Response,"No answer, sent email message"
Client 050,"£1,889",20,15/07/2024,22/03/2026,Not Lost Client,Last visit April 18. Booked May 6
Client 051,"£1,879",23,16/10/2024,23/03/2026,No Response,Left a negative review on Zenoti
Client 052,"£1,871",28,28/08/2024,29/03/2026,Not Lost Client,Last visit April 21
Client 053,"£1,857",34,27/04/2024,29/03/2026,Not Lost Client,Last visit April 21
Client 054,"£1,844",19,18/01/2025,10/03/2026,Not Lost Client,Last visit April 21
Client 055,"£1,840",25,29/12/2024,23/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 056,"£1,790",23,18/11/2024,16/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 057,"£1,779",20,28/05/2024,23/03/2026,Not Lost Client,Booked on April 23
Client 058,"£1,763",21,06/05/2024,30/03/2026,Not Lost Client,Last visit April 16
Client 059,"£1,720",27,07/03/2024,28/02/2026,No Response,"No answer, sent email and WhatsApp"
Client 060,"£1,711",28,07/06/2024,28/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 061,"£1,311",17,20/10/2024,16/03/2026,Not Lost Client,Last visit April 21
Client 062,"£1,297",24,17/09/2024,24/03/2026,Replied,Not in London right now
Client 063,"£1,215",16,20/07/2024,22/03/2026,No Response,"No answer, sent email and WhatsApp"
Client 064,"£1,212",21,16/05/2024,19/03/2026,No Response,"No answer, sent email and WhatsApp"
